         294175 function calls (293857 primitive calls) in 13.238 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 _internal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:145(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:231(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:423(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
        1    0.001    0.001    0.083    0.083 _numpysurfarray.py:45(<module>)
        1    0.001    0.001    0.050    0.050 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:384(FloatFormat)
        1    0.000    0.000    0.001    0.001 arrayprint.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:510(ComplexFormat)
        1    0.001    0.001    0.002    0.002 arraysetops.py:30(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.001    0.001 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.006    0.006    0.006    0.006 base.py:1(<module>)
      459    0.008    0.000    0.009    0.000 base.py:10(__init__)
      400    0.007    0.000    0.050    0.000 base.py:104(load)
      429    0.006    0.000    0.025    0.000 base.py:17(load)
        1    0.000    0.000    0.000    0.000 base.py:25(physicalObject)
      459    0.003    0.000    0.012    0.000 base.py:26(__init__)
        1    0.000    0.000    0.000    0.000 base.py:31(block)
       60    0.000    0.000    0.001    0.000 base.py:32(__init__)
        1    0.000    0.000    0.000    0.000 base.py:34(stone)
       60    0.000    0.000    0.001    0.000 base.py:35(__init__)
        1    0.000    0.000    0.000    0.000 base.py:38(entity)
      399    0.006    0.000    0.017    0.000 base.py:39(__init__)
        1    0.000    0.000    0.000    0.000 base.py:8(drawnObject)
        1    0.000    0.000    0.000    0.000 base.py:96(copyableGroup)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.003    0.003    0.005    0.005 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1007(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:130(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:22(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:31(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:42(_UnexpectedSuccess)
