         33889104 function calls (33888896 primitive calls) in 104.676 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.003    0.003    0.006    0.006 __init__.py:38(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:44(<module>)
        1    0.001    0.001    0.008    0.008 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:46(MissingModule)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:484(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:490(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:532(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:569(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:574(__init__)
        1    0.001    0.001    0.009    0.009 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:631(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:650(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:679(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:749(setFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:805(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:812(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:84(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:872(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:876(__init__)
        1    0.001    0.001    0.005    0.005 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:906(_open)
        1    0.000    0.000    0.000    0.000 __init__.py:932(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:938(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:979(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:984(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:994(getLogger)
        1    0.000    0.000    0.000    0.000 _abcoll.py:365(keys)
        4    0.000    0.000    0.000    0.000 _abcoll.py:368(items)
        1    0.000    0.000    0.000    0.000 _abcoll.py:371(values)
        7    0.000    0.000    0.000    0.000 _abcoll.py:483(update)
        4    0.000    0.000    0.000    0.000 _abcoll.py:97(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.001    0.001    0.001    0.001 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
       37    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
       37    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       75    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
       29    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
        1    0.000    0.000    0.000    0.000 _inspect.py:160(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       37    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
       29    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
       29    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:210(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:231(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:238(_ctypes)
        1    0.000    0.000    0.002    0.002 _internal.py:4(<module>)
